customer_id,age,segment,visits_last_month,time_on_site_min,discount_percent,purchased,spending_usd
1,39,Frecuente,12,11.67,10,1,90.36
2,33,Frecuente,8,12.74,10,1,70.53
3,41,Frecuente,10,12.79,5,1,54.74
4,50,Nuevo,7,8.75,15,0,47.76
5,32,Premium,6,17.99,20,1,82.21
6,32,Nuevo,5,16.99,10,0,66.6
7,50,Frecuente,9,16.76,20,1,90.28
8,42,Frecuente,6,16.05,10,1,80.19
9,30,Frecuente,4,5.7,20,0,71.34
10,40,Nuevo,8,15.7,15,1,71.77
11,30,Frecuente,9,14.62,5,0,53.0
12,30,Frecuente,10,5.85,15,1,54.44
13,37,Nuevo,8,11.14,0,0,45.34
14,15,Nuevo,13,13.11,5,1,67.99
15,17,Nuevo,6,18.66,15,1,81.04
16,29,Premium,15,14.9,0,1,64.34
17,24,Nuevo,8,8.54,10,1,63.62
18,38,Premium,10,18.78,10,1,83.79
19,25,Frecuente,5,12.18,20,1,73.7
20,20,Premium,12,10.98,5,1,55.18
21,49,Premium,9,10.69,10,1,70.72
22,32,Frecuente,4,5.51,5,0,63.07
23,35,Nuevo,7,11.56,10,0,65.8
24,20,Nuevo,4,13.99,20,1,43.45
25,29,Nuevo,7,10.46,15,1,80.1
26,36,Frecuente,7,13.68,20,1,71.5
27,23,Nuevo,7,8.54,0,0,69.47
28,38,Nuevo,8,11.44,10,1,66.32
29,28,Frecuente,4,13.27,0,0,31.05
30,32,Premium,8,12.76,0,0,34.49
31,28,Nuevo,8,5.58,5,0,65.76
32,53,Nuevo,6,10.24,10,1,70.43
33,34,Nuevo,6,18.71,0,0,82.32
34,24,Premium,11,10.03,15,1,75.15
35,43,Frecuente,7,12.06,0,0,51.53
36,22,Nuevo,6,11.65,15,1,63.65
37,37,Nuevo,6,18.27,5,1,58.83
38,15,Nuevo,12,17.16,0,0,65.82
39,21,Nuevo,7,15.23,20,1,83.02
40,36,Premium,11,8.11,5,0,51.72
41,42,Frecuente,11,13.44,15,1,63.46
42,36,Frecuente,8,14.27,5,1,65.01
43,33,Premium,7,9.21,0,1,39.15
44,31,Nuevo,9,8.52,10,1,30.38
45,20,Frecuente,9,18.82,10,0,83.76
46,27,Premium,10,10.8,15,0,63.11
47,30,Nuevo,13,18.46,15,1,98.31
48,45,Frecuente,5,15.99,10,1,72.36
49,38,Nuevo,9,13.63,15,1,79.28
50,17,Nuevo,8,13.81,5,1,87.68
51,38,Nuevo,7,6.4,20,1,66.22
52,31,Frecuente,6,12.83,20,1,72.38
53,28,Frecuente,5,17.67,5,0,69.34
54,41,Premium,9,14.73,20,1,83.53
55,45,Frecuente,6,12.62,0,0,62.53
56,44,Premium,4,18.85,5,1,49.58
57,26,Premium,7,11.26,15,0,56.37
58,31,Nuevo,6,9.52,5,0,59.94
59,38,Frecuente,3,12.62,10,1,45.27
60,44,Nuevo,10,15.07,15,1,86.69
61,30,Frecuente,11,5.13,10,1,65.39
62,33,Premium,8,13.14,15,1,66.76
